review_text,sentiment,issue_type,keywords,severity,source,chunk_id
They look good and stick good! I just don't like the rounded shape because I was always bumping it and Siri kept popping up and it was irritating,negative,design_issue,"bumping, don, good, irritating, just",high,csv,csv_0_1
I just won't buy a product like this again,negative,no_issue,"buy, just, like, product, won",medium,csv,csv_0_2
These stickers work like the review says they do,positive,no_issue,"like, review, says, stickers, work",low,csv,csv_1_2
They stick on great and they stay on the phone,positive,no_issue,"great, phone, stay, stick",low,csv,csv_1_3
They are super stylish and I can share them with my sister,positive,design_issue,"share, sister, stylish, super",low,csv,csv_1_4
These are awesome and make my phone look so stylish! I have only used one so far and have had it on for almost a year! CAN YOU BELIEVE THAT! ONE YEAR!! Great quality!,positive,design_issue,"awesome, believe, far, great, year",low,csv,csv_2_1
Item arrived in great time and was in perfect condition,positive,no_issue,"arrived, condition, great, item, perfect",low,csv,csv_3_1
"However, I ordered these buttons because they were a great deal and included a FREE screen protector",negative,design_issue,"buttons, deal, free, great, included",high,csv,csv_3_2
"Though its not a big deal, it would've been nice to get it since they claim it comes with one",positive,design_issue,"big, claim, comes, deal, nice",low,csv,csv_3_4
leopard home button sticker for iphone 4s,negative,design_issue,"4s, button, home, iphone, leopard",high,csv,csv_4_0
"awesome! stays on, and looks great",positive,no_issue,"awesome, great, looks, stays",low,csv,csv_4_1
can be used on multiple apple products,positive,performance_issue,"apple, multiple, products, used",low,csv,csv_4_2
"especially having nails, it helps to have an elevated key",positive,no_issue,"elevated, especially, having, helps, key",low,csv,csv_4_3
These make using the home button easy,positive,usability_issue,"button, easy, home, make, using",low,csv,csv_5_1
My daughter and I both like them,positive,design_issue,"daughter, like",low,csv,csv_5_2
I would purchase them again,positive,no_issue,purchase,low,csv,csv_5_3
It doesn't come unstuck and its cute! People ask where I got them from & it's great when driving,positive,design_issue,"ask, come, cute, doesn, driving",low,csv,csv_6_5
it worked for the first week then it only charge my phone to 20%,negative,no_issue,"20, charge, phone, week, worked",medium,csv,csv_7_1
it is a waste of money,negative,no_issue,"money, waste",medium,csv,csv_7_2
Protects phone all around with good access to buttons,positive,no_issue,"access, buttons, good, phone, protects",low,csv,csv_8_2
Battery charges with full battery lasts me a full day,negative,performance_issue,"battery, charges, day, lasts",high,csv,csv_8_3
I usually leave my house around 7am and return at 10pm,negative,no_issue,"10pm, 7am, house, leave, return",medium,csv,csv_8_4
I'm glad that it lasts from start to end,positive,no_issue,"end, glad, lasts, start",low,csv,csv_8_5
This is a fantastic case,positive,no_issue,"case, fantastic",low,csv,csv_9_1
Very stylish and protects my phone,positive,design_issue,"phone, protects, stylish",low,csv,csv_9_2
"Easy access to all buttons and features, without any loss of phone reception",positive,usability_issue,"access, buttons, easy, features, loss",low,csv,csv_9_3
"But most importantly, it double power, just as promised",positive,performance_issue,"double, importantly, just, power, promised",low,csv,csv_9_4
this case fits perfectly on the s4 and keeps me powerd all day I can't complain! a+ recommend it to all,positive,performance_issue,"case, complain, day, fits, keeps",low,csv,csv_10_1
This is the first battery case I have had for my Galaxy S4,negative,performance_issue,"battery, case, galaxy, s4",high,csv,csv_11_1
"The S4 fits very well, is slim and doesn't add much weight to the Galaxy S4",negative,performance_issue,"add, doesn, fits, galaxy, s4",high,csv,csv_11_2
It doubles the battery life,positive,performance_issue,"battery, doubles, life",low,csv,csv_11_3
"You can charge either the battery, the phone or both",negative,performance_issue,"battery, charge, phone",high,csv,csv_11_4
There is a handy on-off switch with leds to indicate the level of charge,negative,performance_issue,"charge, handy, indicate, leds, level",high,csv,csv_11_5
The battery case came on time and was packaged well,positive,performance_issue,"battery, came, case, packaged, time",low,csv,csv_11_6
