review,true_sentiment
battery drains quickly,negative
excellent product quality,positive
phone cracked after one week,negative
beautiful stylish design,positive
device randomly shuts down,negative
works perfectly and charges fast,positive
charger stopped working after two days,negative
battery overheats while charging,negative
easy to use and very comfortable,positive
screen broke after accidental fall,negative
very slow response from device,negative
excellent battery backup,positive
love the appearance and design,positive
unexpected freezing issue occurs often,negative
fast performance and smooth operation,positive
device lags frequently during use,negative
very intuitive and easy interface,positive
screen has visible cracks already,negative
battery percentage drops rapidly,negative
simple setup and smooth experience,positive
software crashes unexpectedly,negative
easy controls and good usability,positive
slow charging and overheating issue,negative
excellent stylish appearance,positive
works as expected and performs well,positive
random glitches appear frequently,negative
very durable and solid construction,positive
battery drains overnight,negative
premium aesthetics and nice design,positive
device heats up during gaming,negative
unexpected shutdown while using app,negative
poor quality material used,negative
excellent product overall,positive
terrible experience and poor battery,negative
highly recommended product,positive
confusing interface and lagging issues,negative
very smooth user experience,positive
device crashes frequently,negative
premium quality and nice finish,positive
overheating issue while charging,negative
