review_text,sentiment,issue_type,keywords,severity,source
They look good and stick good! I just don't like the rounded shape because I was always bumping it and Siri kept popping up and it was irritating,negative,no_issue,"bumping, don, good, irritating, just",medium,csv
I just won't buy a product like this again,negative,no_issue,"buy, just, like, product, won",medium,csv
These stickers work like the review says they do,positive,no_issue,"like, review, says, stickers, work",low,csv
They stick on great and they stay on the phone,positive,no_issue,"great, phone, stay, stick",low,csv
They are super stylish and I can share them with my sister,positive,no_issue,"share, sister, stylish, super",low,csv
These are awesome and make my phone look so stylish! I have only used one so far and have had it on for almost a year! CAN YOU BELIEVE THAT! ONE YEAR!! Great quality!,positive,no_issue,"awesome, believe, far, great, year",low,csv
Item arrived in great time and was in perfect condition,positive,performance_issue,"arrived, condition, great, item, perfect",low,csv
"However, I ordered these buttons because they were a great deal and included a FREE screen protector",negative,no_issue,"buttons, deal, free, great, included",medium,csv
"Though its not a big deal, it would've been nice to get it since they claim it comes with one",positive,no_issue,"big, claim, comes, deal, nice",low,csv
leopard home button sticker for iphone 4s,negative,no_issue,"4s, button, home, iphone, leopard",medium,csv
"awesome! stays on, and looks great",positive,design_issue,"awesome, great, looks, stays",low,csv
can be used on multiple apple products,positive,no_issue,"apple, multiple, products, used",low,csv
"especially having nails, it helps to have an elevated key",positive,no_issue,"elevated, especially, having, helps, key",low,csv
These make using the home button easy,positive,no_issue,"button, easy, home, make, using",low,csv
My daughter and I both like them,positive,no_issue,"daughter, like",low,csv
I would purchase them again,positive,no_issue,purchase,low,csv
It doesn't come unstuck and its cute! People ask where I got them from & it's great when driving,positive,no_issue,"ask, come, cute, doesn, driving",low,csv
it worked for the first week then it only charge my phone to 20%,negative,performance_issue,"20, charge, phone, week, worked",high,csv
it is a waste of money,negative,no_issue,"money, waste",medium,csv
Protects phone all around with good access to buttons,positive,no_issue,"access, buttons, good, phone, protects",low,csv
Battery charges with full battery lasts me a full day,negative,performance_issue,"battery, charges, day, lasts",high,csv
I usually leave my house around 7am and return at 10pm,negative,no_issue,"10pm, 7am, house, leave, return",medium,csv
I'm glad that it lasts from start to end,positive,no_issue,"end, glad, lasts, start",low,csv
This is a fantastic case,positive,no_issue,"case, fantastic",low,csv
Very stylish and protects my phone,positive,no_issue,"phone, protects, stylish",low,csv
"Easy access to all buttons and features, without any loss of phone reception",positive,no_issue,"access, buttons, easy, features, loss",low,csv
"But most importantly, it double power, just as promised",positive,performance_issue,"double, importantly, just, power, promised",low,csv
this case fits perfectly on the s4 and keeps me powerd all day I can't complain! a+ recommend it to all,positive,no_issue,"case, complain, day, fits, keeps",low,csv
This is the first battery case I have had for my Galaxy S4,negative,performance_issue,"battery, case, galaxy, s4",high,csv
"The S4 fits very well, is slim and doesn't add much weight to the Galaxy S4",negative,no_issue,"add, doesn, fits, galaxy, s4",medium,csv
It doubles the battery life,positive,performance_issue,"battery, doubles, life",low,csv
"You can charge either the battery, the phone or both",negative,performance_issue,"battery, charge, phone",high,csv
There is a handy on-off switch with leds to indicate the level of charge,negative,no_issue,"charge, handy, indicate, leds, level",medium,csv
The battery case came on time and was packaged well,positive,performance_issue,"battery, came, case, packaged, time",low,csv
Absolutely love the case !!,positive,no_issue,"absolutely, case, love",low,csv
"It's very  sturdily built,and provides lots of boost",positive,no_issue,"boost, built, lots, provides, sturdily",low,csv
It does exactly what it's supposed too,positive,performance_issue,"does, exactly, supposed",low,csv
Easy to insert phone in and out,negative,no_issue,"easy, insert, phone",medium,csv
Definitely a 5 star experience,positive,no_issue,"definitely, experience, star",low,csv
Don't know what I would do without this case LOVE LOVE LOVE it,positive,no_issue,"case, don, know, love",low,csv
Best Rechargeable Battery Case on the Market!!!!!!!!!! A++++++++,positive,performance_issue,"battery, best, case, market, rechargeable",low,csv
"Unlike Most of the Rechargeable Battery cases, PowerBear Lasts up to 2 whole days",negative,performance_issue,"battery, cases, days, lasts, powerbear",high,csv
"It doesn't heat up like most of the other ones, and I was completely fascinated by the ultra light and sleek design for the case",positive,design_issue,"case, completely, design, doesn, fascinated",low,csv
"Before I was using the Mophie case but I couldn't wear it often because it was like having a hot brick in your pocket, Hence I had to always leave it at home",negative,no_issue,"brick, case, couldn, having, home",medium,csv
"On the contrary, with PowerBear, I never take it off because I can't even tell the difference",negative,performance_issue,"contrary, difference, powerbear, tell",high,csv
"Also it is build in a super STRONG manner and even though I dropped my phone a few times, its shock resistant technology won't let a single thing happen to the case or the phone",positive,no_issue,"build, case, dropped, happen, phone",low,csv
"The PowerBear case became an extension to my phone that I never have to take off because when I charge it at night, it charges both my phone and the case, and I have battery life for more than two days",negative,performance_issue,"battery, case, charge, charges, phone",high,csv
"I was also shocked to hear all the positive compliments I was hearing from people at my job, fitness center, and throughout the community",positive,no_issue,"center, community, compliments, fitness, hear",low,csv
"Everybody was loving the case, and what they don't know is that it cost  me 60 % CHEAPER then all the other brand",positive,no_issue,"60, brand, case, cheaper, cost",low,csv
"This is the best purchase I've made on the internet, and I am going to buy more for my family in time for the Holidays",positive,no_issue,"best, buy, family, going, holidays",low,csv
"I needed a phone case for myself and my two sons, but I also needed new replacement batteries",negative,performance_issue,"batteries, case, needed, new, phone",high,csv
"Now this isn't the case, since I got both in one",negative,no_issue,"case, got, isn",medium,csv
"When there is no outlets, or chargers near by its Powerbear to the rescue! Ordered one for my husband, and myself",negative,performance_issue,"chargers, husband, near, ordered, outlets",high,csv
"Doesn't heat up like crazy like the other ones I got, and cheaper too! Its definetly the best power case for the S4 you can get, thats why I got one for me and my wife",positive,design_issue,"best, case, cheaper, got, like",low,csv
I wonder why its called power bear,negative,performance_issue,"bear, called, power, wonder",high,csv
Works like the Expensive Version,positive,no_issue,"expensive, like, version, works",low,csv
"Surprisingly, this inexpensive version works just as well and just as reliably as the expensive variety",positive,no_issue,"expensive, inexpensive, just, reliably, surprisingly",low,csv
It has been working for me for months now,negative,no_issue,"months, working",medium,csv
I have tested this against the griffin dual output unit,negative,no_issue,"dual, griffin, output, tested, unit",medium,csv
I checked the charging current,negative,performance_issue,"charging, checked, current",high,csv
This unit was charging my galaxy note battery with 70 ma,negative,performance_issue,"70, battery, charging, galaxy, ma",high,csv
Griffin was charging with 40 ma! And the griffin was 4 times more expensive,negative,performance_issue,"40, charging, expensive, griffin, ma",high,csv
I have not used these for very long,negative,no_issue,"long, used",medium,csv
"I bought 15 of them, because they are so cheap and because they actually do seem to provide high current",negative,no_issue,"15, actually, bought, cheap, current",medium,csv
No idea how long they last,negative,unexpected_behavior,"idea, long",high,csv
I assume they will work fine,positive,no_issue,"assume, fine, work",low,csv
I have not been using them much,negative,no_issue,using,medium,csv
"I did the testing , just to stock up on a high current charger",negative,performance_issue,"charger, current, did, high, just",high,csv
This passed and I stocked up,positive,no_issue,"passed, stocked",low,csv
It worked great for the first couple of weeks then it just stopped completely,negative,no_issue,"completely, couple, great, just, stopped",medium,csv
so basically a small waste of money,negative,no_issue,"basically, money, small, waste",medium,csv
I love that it has two ports for my phone and ipod,positive,design_issue,"ipod, love, phone, ports",low,csv
Who wants to be putting too many things in one socket,negative,no_issue,"putting, socket, things, wants",medium,csv
Sleek and convenient to store and I just love it,positive,no_issue,"convenient, just, love, sleek, store",low,csv
"just what you need, I am always having to charge my phone and then find I have another item to charge also",negative,no_issue,"charge, having, item, just, need",medium,csv
"does not have the need amps to charge things like ipads, or hp touchpads",negative,no_issue,"amps, charge, does, hp, ipads",medium,csv
but its super small and compact,positive,no_issue,"compact, small, super",low,csv
I like the fact they light up,positive,no_issue,"fact, light, like",low,csv
"They are nothing special for sure, but it's nice that you can tell when it is powered up by the led that glows in it",positive,no_issue,"glows, led, nice, powered, special",low,csv
able to charge two phones at once in the car which is nice,positive,performance_issue,"able, car, charge, nice, phones",low,csv
Have more than one vehicle so I keep more than one of these in each,negative,no_issue,vehicle,medium,csv
"Nothing more frustrating than finding all of a sudden one quits working, and you have no way to recharge your phone",negative,no_issue,"finding, frustrating, phone, quits, recharge",medium,csv
That is always when you need it most,positive,no_issue,need,low,csv
This one works well for any of my products,positive,no_issue,"products, works",low,csv
I bought this a little skeptical,negative,no_issue,"bought, little, skeptical",medium,csv
After I tried it I bought two more,negative,no_issue,"bought, tried",medium,csv
It works great and so far it has lasted for about 3 months,positive,no_issue,"far, great, lasted, months, works",low,csv
If that changes I will update this review,negative,no_issue,"changes, review, update",medium,csv
This doesn't work with my iPad,negative,no_issue,"doesn, ipad, work",medium,csv
I am disappointed that the 1A didn't work with my iPad,negative,no_issue,"1a, didn, disappointed, ipad, work",medium,csv
That's what I get for buying a cheap adapter,negative,no_issue,"adapter, buying, cheap",medium,csv
Solid Charger but RF noisy,negative,performance_issue,"charger, noisy, rf, solid",high,csv
This is a nice charger but you can tell it was made cheaply in China,negative,no_issue,"charger, cheaply, china, nice, tell",medium,csv
"When it is charging the phone, the car radio gets LOTS of static",negative,performance_issue,"car, charging, gets, lots, phone",high,csv
Not so much that I have to stop charging but like when you are near power lines and the radio station is far away,negative,performance_issue,"away, charging, far, like, lines",high,csv
"I gave it 4 stars because it works fine for me, but if you listen to the radio, you might consider it is more like 2 or 3 stars",positive,no_issue,"consider, fine, gave, like, stars",low,csv
After a week only one side works,negative,no_issue,"week, works",medium,csv
Yo get exactly what you order in a timely fashion,positive,no_issue,"exactly, fashion, order, timely, yo",low,csv
And the item is just as described,positive,no_issue,"described, item, just",low,csv
Great buy if you ask me,positive,no_issue,"ask, buy, great",low,csv
USB slots in a blue light that never quits,positive,design_issue,"blue, light, quits, slots, usb",low,csv
This is a terribly awesome product in my Subaru's console,positive,no_issue,"awesome, console, product, subaru, terribly",low,csv
"Passengers love it, I love it because it emits a blue glow, because it has held up to abuse over the years and performs like new",positive,no_issue,"abuse, blue, emits, glow, love",low,csv
I've bough a munch of different things like this over the years,positive,no_issue,"bough, different, like, munch, things",low,csv
"Most wouldn't stay in the jack, or would give out after a few days",negative,no_issue,"days, jack, stay, wouldn",medium,csv
"don't waste your money, pay more and buy one at Walgreen s",negative,no_issue,"buy, don, money, pay, walgreen",medium,csv
Only works one side at a time,negative,no_issue,"time, works",medium,csv
"When you connect two cables, one side stop working and also overheated burning the fuses",negative,design_issue,"burning, cables, connect, fuses, overheated",high,csv
I purchased two of them and it's the same problem,negative,no_issue,"problem, purchased",medium,csv
it works great i like i can charge two thing at the same now i dont have to wait for my to finish charging her phone,positive,performance_issue,"charge, charging, dont, finish, great",low,csv
"this is a review by Jude Chukwuma Benyeogor ""jcb"" (id A2I7NEVKSJ5UWR) for product 6073894996",negative,no_issue,"6073894996, a2i7nevksj5uwr, benyeogor, chukwuma, id",medium,txt
"they basically said: It came at last, good looking and the price was good and i believe it is worth the time I waited for it to come to me good job

they gave it like 4",positive,design_issue,"basically, believe, came, come, good",low,txt
"0 stars i guess, summary was something like ""good job""",positive,no_issue,"good, guess, job, like, stars",low,txt
helpful votes?? 0 out of 0 lol,negative,no_issue,"helpful, lol, votes",medium,txt
"review was around 03 27, 2014 (unix 1395878400)",negative,no_issue,"03, 1395878400, 2014, 27, review",medium,txt
this is a review by pissed off (id A2B8HBZPIFYRV1) for product 6073894996,negative,no_issue,"6073894996, a2b8hbzpifyrv1, id, pissed, product",medium,txt
"they basically said: works great and charges ipads, tablets, smartphones as well as bluetooth speakers and headsets",positive,no_issue,"basically, bluetooth, charges, great, headsets",low,txt
I would recommend it to anyone looking for a universal car charger,positive,no_issue,"car, charger, looking, recommend, universal",low,txt
